"uid","description"
"0x85911bc0b328382c4b6b25dcf6691b80","Бумажная продукция"
"0x82e6000423b423b711da7d15445d42f1","Бытовая техника"
"0xbf2fa349d5fceeaa481c9a56f6def30a","Бытовая химия"
"0xa0c584a2a0dd4ef84b701c99dd92b988","Бытовые товары"
"0xaf9da9015d2615434e73741e39ac3bec","Личные вещи"
"0x82e6000423b423b711da7d15445d42c9","Косметика, предметы гигиены"
"0x91205ca097b27d3442247e5cee5abb33","Двери"
"0x8128d8df9cf963df45f5965971143ff7","Дверные ручки"
"0xb77b35fc4a0f85804f9bd0db3876d2b3","Дверные петли"
"0x82e6000423b423b711da7ea7c1e07196","Детские товары"
"0xabdd6eae8b603ea911e292b4b5897455","Корма для животных"
"0x9c694436ae73d8cd46abaf1dddf07349","Пищевые добавки"
"0x82e6000423b423b711da7d15445d42f2","Документы"
"0x82e6000423b423b711da7d15445d42cb","Запчасти"
"0x82e6000423b423b711da7ea09555885b","Зоотовары"
"0xa6e1b2e094a853094e3d58a6ad2b1c07","Текстиль и ткани"
"0xa72b27ee54d9b0544083ea2796116688","Оргтехника и ПК"
"0x82e6000423b423b711da7d1be64756a2","Игрушки"
"0x82e6000423b423b711da7dc573f95304","Керамические, керамогранитные изделия"
"0xb648e61f13ed5cb911e2f9b3c62d445d","Табачные изделия"
"0xabe7f6f9482ea3eb43f57fdde360b38b","Ювелирные изделия, часы наручные"
"0xbb4ad54c7804a06548c943266ae03e5f","Инвентарь"
"0xb4763a3446efd7a647ebb630231fcd32","Кабель"
"0xafef432c620cc1ed490844feddaf0784","Канцелярские товары"
"0xb6dd772048f6d453403b6ecde98e4f81","Пластиковые карты"
"0x8793195c5a7966e343f7e7168f2d5de3","Кожа, мех"
"0x82e6000423b423b711da7ea7c1e0718d","Комплектующие"
"0xa9028361edca66a54a27521548bc7876","Краски/лаки"
"0xbd36561cf54e5a7f44642c9f3f2c9cfc","Крепеж"
"0x96298166cf74f4e64cb67c4aa69c1f52","Светильники, лампы"
"0x82e6000423b423b711da7ebaf1da397e","Лента"
"0xaafbb8ee52d8dfcf437e486c1d3609c2","Лодка металлическая"
"0x99dd538aba9d9e0049e698dbe284c308","Лодочные моторы"
"0x82e6000423b423b711da7eb7d46e294f","Материалы"
"0x8d8c07838d4eae6346500d86cf6f0d39","Электроизоляционные материалы"
"0x9652caf78448055045ca53014da4291b","Отделочные материалы"
"0xa5395917a3de608f41d8184f536c5575","Расходные материалы"
"0xa2eea3dd15ed7edd46ccdf5f1743c030","Мебель"
"0xa10b00112fd49c4311da834ef161b0d7","Мебельная фурнитура"
"0xbda13898724a0f8544d87551ab8f5751","Металлопродукция"
"0xbba6df40367b61144d61e9d570c0987a","Метизы"
"0x89c6fa25e94e91874af8487f2a9f31e2","Мотоциклы"
"0xbfcdf065f08c4ce3488461c93636fdaf","образцы печатные"
"0x8b12b8c23ed085984b5be2045b4bb72c","Обувь"
"0xa6c398355c3e458243358119fe63a1c3","Огнетушители"
"0x82e6000423b423b711da7d15445d42d1","Одежда"
"0xb6253571f9af955f47b10c3c921ee922","Окна"
"0x9d3d5509be5c1b78425648a80a0881c5","Палатки"
"0x82e6000423b423b711da7f670f032f40","Печатная продукция"
"0x8d2d50505450303011da842e45936ec8","Пластик"
"0x951bf0d6584ee6934bf7bbe676831900","Пластиковая фурнитура"
"0x82e6000423b423b711da7df01bc4a65c","Пленка"
"0xa943f725383aac864d19933a9f4e85fa","Плинтус"
"0x82e6000423b423b711da7d15445d42ca","Подшипники"
"0x8134e184ea799a3f49d31a13771e5523","Почта"
"0x9db48d93218e276946c631d5e7c7460a","Электроизмерительные приборы"
"0xab117f72d9de97b843ba5fd18cc2e858","Приборы"
"0xbce1c5db798514a9474051ec5a9976a7","Проволока"
"0x82e6000423b423b711da7dc573f95307","Рекламная продукция"
"0x90c95849c2af18f4486b2bc7e8cd56f4","Трубы, профиль"
"0x82e6000423b423b711da7ea7c1e07168","Рыболовные товары"
"0x82e6000423b423b711da7dc573f95311","Сантехника"
"0x82e6000423b423b711da804e4fff8336","Семена"
"0x8d7c996232c8eeea4ca7980b26f944d6","Спортивные товары"
"0x8d8f000e0c3ef59111da833d0af6f8ec","Стекло"
"0x810a3768d9ce67894f4ebb35014c60e8","Строительные товары"
"0x82e6000423b423b711da7dc573f95306","Сувениры"
"0x82e6000423b423b711da7f66935ad14c","Сырье"
"0xaf2af18a487210014df0060526664885","Такелаж"
"0x82e6000423b423b711da7ea7c1e07171","Телефоны"
"0x8d2d50505450303011da842e4e5bad4a","Удобрение"
"0x82e6000423b423b711da7f670f032f65","Упаковка"
"0xab8add5cc2753634405beb281f2f61e1","Швейная фурнитура"
"0xb51476d3b066b8d349b379c4e37e49af","Фурнитура"
"0x88456564ab8e712249c4364d5e14659d","Хозтовары"
"0x941daa39da2f792146ba4a5098a34458","Шины"
"0xa5e9a3d46fb1b6644a9057da63d0fe56","Электродвигатели"
"0x87654850f820dc82492f017472c3015c","Электроинструменты"
"0x9fd28b6a39825b98406468542845fff9","Электроника"
"0xb22ebf8ec96c08a74f940331e01d103c","Электротовары"
"0x98086eae8b603ea911e5e1f0a5c2a35a","3D очки"
"0x98086eae8b603ea911e5e1f2a9a8c4c3","Материал для 3D принтера"
"0x98086eae8b603ea911e5e1f16b976a0e","Датчик abs"
"0x9942e61f13ed5cb911e5e126ed71445f","Абажур"
"0x98086eae8b603ea911e5e1f0f9b23f87","Блоки аварийного питания"
"0x98086eae8b603ea911e5e1f0abc45b87","Аварийное ограждение"
"0x98086eae8b603ea911e5e1f0abc45b8b","Аварийные таблички"
"0x98086eae8b603ea911e5dc4a4299cfd2","Авиазапчасти"
"0x98086eae8b603ea911e5e1f0abc45b92","Авиакресла"
"0x98086eae8b603ea911e5e1f0abc45b97","Авиационное масло"
"0x98086eae8b603ea911e5e1f0abc45b98","Авиационное оборудование"
"0x982400215e7024d411e1e844ef594aad","Автозапчасти"
"0x98086eae8b603ea911e5e1f0abc45bb4","Автоинструмент"
"0x98086eae8b603ea911e5e1f0abc45bca","Автокраска"
"0x98086eae8b603ea911e5e1f36993a0a7","Пусковое устройство для автомобилей"
"0x98086eae8b603ea911e5e1f28bae73a2","Крыло автомобильное"
"0x98086eae8b603ea911e5e1f0b1c15161","Автомобильные камеры"
"0x98086eae8b603ea911e5e1f0b1c15146","Автотовары"
"0x98086eae8b603ea911e5e1f0bdbffee9","Аквариум "
"0x98086eae8b603ea911e5e1f0bdbfff1a","Аксессуары для бассейнов"
"0x98086eae8b603ea911e5e1f0bdbfff21","Аксессуары для занятий спортом"
"0x98086eae8b603ea911e5e1f0bdbfff24","Аксессуары для кальяна"
"0x98086eae8b603ea911e5e1f0bdbfff25","Аксессуары для каминов"
"0x98086eae8b603ea911e5e1f0bdbfff28","Аксессуары для кухни"
"0x98086eae8b603ea911e5e1f0bdbfff2a","Аксессуары для лодки"
"0x98086eae8b603ea911e5e1f0bdbfff2d","Аксессуары для мобильных телефонов"
"0x98086eae8b603ea911e5e1f0bdbfff2e","Аксессуары для оборудования"
"0x98086eae8b603ea911e5e1f0bdbfff37","Аксессуары для тенниса"
"0x98086eae8b603ea911e5e1f0c3b83182","Аксессуары к оргтехнике"
"0xab766cae8b60617d11e6799fa96831e3","Лист аллюминиевый"
"0x98086eae8b603ea911e5e1f0c3b831ad","Алмазный диск"
"0x98086eae8b603ea911e5e1f0c3b831b2","Альбомы"
"0x98086eae8b603ea911e5e1f0c3b831b3","Альпинистское снаряжение"
"0x98086eae8b603ea911e5e1f0c3b831c3","Алюминиевая конструкция"
"0x98086eae8b603ea911e5e1f0c3b831c7","Алюминиевая лестница"
"0x98086eae8b603ea911e5e1f0c3b831dc","Алюминиевая продукция"
"0x98086eae8b603ea911e5e1f0c3b831f7","Алюминиевые изделия"
"0x98086eae8b603ea911e5e1f0cfad59d8","Антикоррозийное покрытие"
"0x98086eae8b603ea911e5e1f0cfad5a15","Аппарат искусственной вентиляции легких"
"0x98086eae8b603ea911e5e1f0cfad5a17","Аппарат медицинский"
"0x98086eae8b603ea911e5e1f0cfad5a1e","Аппарат сварочный"
"0x98086eae8b603ea911e5e1f0cfad5a21","Аппарат узи"
"0x98086eae8b603ea911e5e1f0cfad5a24","Аппарат физиотерапии"
"0x9942e61f13ed5cb911e5d0c307ea85db","Ультразвуковой аппарат"
"0x9942e61f13ed5cb911e5d553dd1727ae","Аппарат косметологический"
"0xb5526cae8b60617d11e5e0577997e51d","Аппарат электрохирургический"
"0xbabde41f13ed5cba11e64cea7a9ad081","УЗИ аппарат"
"0x98086eae8b603ea911e5e07d0b867b54","Блоки аппаратуры"
"0x98086eae8b603ea911e5e1f0d5b3d4be","Аптечка"
"0x98086eae8b603ea911e5e1f0d5b3d4dc","Арматура трубопроводная"
"0x9e49cbd57433cb98424489f6beff4187","Станок для гибки арматуры"
"0xb4285ec919908b6d424b65324f55a7b9","Станок для арматуры"
"0x9942e61f13ed5cb911e5d16754bd4cec","Аудиотехника"
"0x98086eae8b603ea911e5e1f0d5b3d520","Афиши"
"0x98086eae8b603ea911e5e1f0dbb32ba8","Багажная сумка"
"0x98086eae8b603ea911e5e071c2c67c79","Балансировочный станок"
"0x98086eae8b603ea911e5e1f0dbb32c05","Балетный станок"
"0x98086eae8b603ea911e5d62d3074418d","Баллоны"
"0xb26e6cae8b60617d11e6015ac50eee0f","Печь для бани"
"0x98086eae8b603ea911e5e1f255b9289c","Комплектующие для бассейна"
"0x98086eae8b603ea911e5e1f0e7b1d9e2","Беговая дорожка "
"0xb5526cae8b60617d11e5da5cc813eda8","Беговые лыжи"
"0x98086eae8b603ea911e5e1f0edaa0c3f","Бензоинструмент"
"0xb5526cae8b60617d11e5dad4b3daba98","Источник бесперебойного питания"
"0x98086eae8b603ea911e5e1f0f3abc4b0","Блины металлические"
"0x81173b3f442452204d8320fb4f3bc818","Блоки вентиляторов"
"0x98086eae8b603ea911e5e1f0f9b23f8e","Блоки графитовые"
"0x98086eae8b603ea911e5e1f0f9b23f94","Блоки крановые"
"0x98086eae8b603ea911e5d0b52468529a","Бумага"
"0x98086eae8b603ea911e5e1f10bab817d","Бурильный инструмент"
"0x98086eae8b603ea911e5e1f10bab8186","Буровой насос"
"0x98086eae8b603ea911e5e1f10bab8196","Буровой станок"
"0xa1d2b6b8609a1cc94bcd8a0e554eb05c","Станок буровой"
"0x98086eae8b603ea911e5e1f25bbae0ad","Комплектующие к бытовой технике"
"0x98086eae8b603ea911e5e1f28bae739c","Крупа в мешках"
"0x98086eae8b603ea911e5e1f111a615a1","Вазы"
"0x98086eae8b603ea911e5dbb9ae35efe4","Вакуумные насосы"
"0x851c6eae8b603ea911e639f0a2ab8e87","Вальцовочный станок"
"0x9942e61f13ed5cb911e5dc7dbcc75d00","Шкаф вандалозащитный"
"0x98086eae8b603ea911e5def6aca6980a","Ванна"
"0xa506b0e348c6634d41bd124e58388734","Машинка для сахарной ваты"
"0x98086eae8b603ea911e5d3a0e57d4dd0","Велосипед"
"0x98086eae8b603ea911e5e1f11da724ba","Велотренажер"
"0x98086eae8b603ea911e5e1f255b9289e","Комплектующие для вентиляции"
"0x98086eae8b603ea911e5e1f123a8dcd2","Веревка"
"0x98086eae8b603ea911e5d16706dea867","Ветеринарное оборудование"
"0x98086eae8b603ea911e5e1f129a83400","Винтовая лестница"
"0x98086eae8b603ea911e5e1f12fa2c847","Водонагреватель"
"0x98086eae8b603ea911e5e1f135a21e9e","Водоотвод"
"0x98086eae8b603ea911e5e1f135a21ea5","Водоохладитель"
"0x98086eae8b603ea911e5e1f135a21ea6","Водоочистители"
"0xb5526cae8b60617d11e5d0cb28be6e3e","Счетчики воды"
"0xab766cae8b60617d11e678b6ce50e3df","Нагреватель воздуха"
"0x98086eae8b603ea911e5e1f135a21edd","Воздухоохладители"
"0x98086eae8b603ea911e5d0bcb9086ed6","Войлок"
"0x98086eae8b603ea911e5e1f219a7f637","Карбоновое волокно"
"0x98086eae8b603ea911e5e1f13b9a517f","Ворс"
"0x9d135b7bac95a1734d1f7787145025e1","Станок для вырубки"
"0x98086eae8b603ea911e5e1f2fd9f84c8","Оборудование под выставку"
"0x851c6eae8b603ea911e6266314938a74","Шкаф вытяжной"
"0x9942e61f13ed5cb911e5ea8839dc91ec","Счётчики газа"
"0x98086eae8b603ea911e5e1f3bd87ff41","Газеты "
"0x98086eae8b603ea911e5e1f1419e6b67","Газобетон"
"0x98086eae8b603ea911e5e1f1419e6b68","Газоблок"
"0x98086eae8b603ea911e5e1f14798ff23","Газовая печь"
"0xa14f6cae8b603ead11e6856154a3365b","Печь газогенераторная"
"0x98086eae8b603ea911e5e1f14d95f4f6","Геофизическое оборудование"
"0x98086eae8b603ea911e5e1f14d95f510","Герметик"
"0x98086eae8b603ea911e5e1f1539088ed","Гибочный станок"
"0x98086eae8b603ea911e5e1f201978f95","Инструмент гидравлический"
"0xb5526cae8b60617d11e5dc7c99ecda51","Гидравлический пресс"
"0x98086eae8b603ea911e5e1f15390893f","Гидроинструмент"
"0x98086eae8b603ea911e5e1f15994a266","Гидронасосы"
"0x98086eae8b603ea911e5e1f15994a2d5","Гладильное оборудование"
"0x98086eae8b603ea911e5e1f15f8cd533","Глушитель"
"0x98086eae8b603ea911e5e1f15f8cd56b","Горное оборудование"
"0x851c6eae8b603ea911e6267162dec815","Гравировальный станок"
"0xa38591710f443acf4bca4171ccb306e3","Печь гриль"
"0x98086eae8b603ea911e5e1f2139f19b9","Канат грузовой"
"0x98086eae8b603ea911e5e1f16b9769d0","Грузоподъёмное оборудование"
"0x98086eae8b603ea911e5e1f16b976a0a","Дальномер"
"0x98086eae8b603ea911e5e1f16b976a14","Датчик движения"
"0x98086eae8b603ea911e5e1f16b976a25","Датчик силы"
"0x98086eae8b603ea911e5e1f16b976a27","Датчик температурный"
"0x98086eae8b603ea911e5e1f17196c0ab","Датчики"
"0x98086eae8b603ea911e5e1f25bbae0af","Комплектующие к дверям"
"0x98086eae8b603ea911e5e1f1779d3bbb","Двигатель для моторной лодки"
"0x98086eae8b603ea911e5e1f1779d3bc8","Двигатель мотоцикла"
"0x98086eae8b603ea911e5e1f17db1ff22","Декоративный камень"
"0x98086eae8b603ea911e5e1f17db1ff3d","Демонстрационное оборудование"
"0x98086eae8b603ea911e5e1f183ac9309","Деревообрабатывающее оборудование"
"0xac536eae8b603ea911e692a10bba1f95","Деревообрабатывающий станок"
"0x98086eae8b603ea911e5e1f189b0ac9f","Держатели"
"0xaa214467767475144aaa86e0a6cdd29e","Детская коляска "
"0x98086eae8b603ea911e5dbb2aba7137d","Детские игрушки"
"0x9942e61f13ed5cb911e5e1399c0ea1e0","Диваны"
"0x802659bcc683310249b9b9b31ab41e8d","Кофры для техники"
"0x849b12e6aa18a5af432a4dc24b233ea2","Машинка для перемотки"
"0x851c6eae8b603ea911e63f6d2bff7dda","Станок для заточки "
"0x851c6eae8b603ea911e63f83dbc4cd1d","Машинка для обуви"
"0x8752d05a74f7902647248f00b5652839","машинка для печатания"
"0x8e48b36383d6a47644f0b6e9576616fc","Станок для обработки фаски клапана"
"0x91193a121aee1b794a79e209828e0d67","Станок для мойки"
"0x98086eae8b603ea911e5e1f1efa3107f","Игрушки для животных"
"0x98086eae8b603ea911e5e1f225a4423f","Картридж для принтера"
"0x98086eae8b603ea911e5e1f23db96b8c","Клетка для животных"
"0x98086eae8b603ea911e5e1f255b928b3","Комплектующие для лестниц"
"0x98086eae8b603ea911e5e1f255b928b4","Комплектующие для лифтового оборудования"
"0x98086eae8b603ea911e5e1f255b928b6","Комплектующие для медицинского оборудования"
"0x98086eae8b603ea911e5e1f25bbae09e","Комплектующие для фасада"
"0x9942e61f13ed5cb911e5e11ba1d16099","Экран для кинотеатра"
"0x9eb20e35eea08af44785ac0927da0696","Станок для лыж"
"0xa676b18ce321494f4573dc9e486da07a","Печь для обжига"
"0xb02042f806fac0d045c69cc274c929bf","Товары для офиса"
"0xb26e6cae8b60617d11e61db5194c9d13","Экраны для проекторов "
"0xb5526cae8b60617d11e5d540dced2440","Печь для пиццы"
"0xbabde41f13ed5cba11e63301a4ee8764","Печь для сауны"
"0x98086eae8b603ea911e5e1f19bac5055","Добавки кормовые"
"0x98086eae8b603ea911e5e1f1a1ae082a","Доверенность"
"0x98086eae8b603ea911e5e1f1a1ae08bf","Дорожный инструмент"
"0x98086eae8b603ea911e5d0b57b8d2916","Дрова"
"0x98086eae8b603ea911e5e1f387892ed9","Семена подсолнечника жареные"
"0x98086eae8b603ea911e5e1f1b3a4e909","Железо"
"0x98086eae8b603ea911e5e1f1b9a6a0df","Железобетонное изделие"
"0x9942e61f13ed5cb911e5d4b28b3bb6e7","Женская одежда"
"0x98086eae8b603ea911e5e1f1b9a6a0ee","Женские сумки"
"0x98086eae8b603ea911e5e1f1c5a7b05d","Замок зажигания"
"0x98086eae8b603ea911e5e1f1c5a7b035","Заземлители"
"0x98086eae8b603ea911e5e1f1c5a7b069","Замша"
"0x98086eae8b603ea911e5e1f1c5a7b06e","Запальник"
"0x98086eae8b603ea911e5e1f1c5a7b073","Запаска"
"0x9942e61f13ed5cb911e5d3be164b1187","Запчасти"
"0x98086eae8b603ea911e5e1f24fc0f58c","Колонка звуковая"
"0x98086eae8b603ea911e5e1f1e9a3b985","Зеркало "
"0x98086eae8b603ea911e5e1f1e9a3b99d","Зерновой кофе"
"0x98086eae8b603ea911e5e1f1e9a3b9a4","Зимнее снаряжение"
"0x98086eae8b603ea911e5e1f1e9a3b9a7","Зимние костюмы"
"0x98086eae8b603ea911e5e1f25bbae0ab","Комплектующие из пластика"
"0x98086eae8b603ea911e5e1f1f59da460","Изделие металлическое"
"0x98086eae8b603ea911e5e1f0f9b23fd2","Пластиковые изделия"
"0x98086eae8b603ea911e5e1f243bb2425","Кожаные изделия"
"0x98086eae8b603ea911e5e1f1fb95d71a","Измерительный приборы"
"0x98086eae8b603ea911e5e1f1fb95d779","Инвентарь спортивный"
"0x98086eae8b603ea911e5e1f201978f6a","Индуктор"
"0xbabde41f13ed5cba11e64cea5c19a753","Нагреватель индукционный"
"0xb5526cae8b60617d11e5d475a2242b46","Инкубатор"
"0x98086eae8b603ea911e5e1f201978f8d","Инсталляция"
"0x98086eae8b603ea911e5e1f201978fb3","Инструмент слесарный"
"0x98086eae8b603ea911e5e1f201978fb4","Инструмент строительный"
"0x98086eae8b603ea911e5e1f291b02c0a","Лазерный инструмент"
"0x822f77f284c47d14499e99e3d4fec619","Инструменты"
"0x98086eae8b603ea911e5e1f2a3a4ab3d","Маникюрные инструменты"
"0xb5fccdbdc4b006d74d6968eccf2ce808","Искусственные растения"
"0x98086eae8b603ea911e5e1f2079ba911","Испарители"
"0x98086eae8b603ea911e5e1f25bbae0b3","Комплектующие к компьютеру"
"0x98086eae8b603ea911e5e1f25bbae0ba","Комплектующие к насосам"
"0x98086eae8b603ea911e5e1f2139f1961","Камень "
"0xb5526cae8b60617d11e5d3c810a09d3f","Камеры"
"0x98086eae8b603ea911e5e1f219a7f5e8","Капельница"
"0x98086eae8b603ea911e5e1f219a7f659","Кардиограф"
"0x98086eae8b603ea911e5e1f21fa028f6","Картон"
"0x98086eae8b603ea911e5e1f225a4429d","Каталоги"
"0xb5526cae8b60617d11e5d547ca1f3b22","Кафельная плитка"
"0x98086eae8b603ea911e5e1f22bb1e194","Качели садовые"
"0x98086eae8b603ea911e5e1f22bb1e1a3","Квадрокоптеры"
"0x98086eae8b603ea911e5e1f22bb1e1a5","Квадроциклы"
"0x98086eae8b603ea911e5e1f22bb1e1b9","Квитанции"
"0x98086eae8b603ea911e5e1f22bb1e1d0","Кейс"
"0x98086eae8b603ea911e5e1f231b85c4d","Керамзит"
"0xa10ffe42be7e61d648deac4db06e0906","Печь керамическая"
"0xb70d4de21068eb8640fc4b75ae8d3c4a","Нагреватели керамические"
"0x98086eae8b603ea911e5e1f231b85cbd","Кирпич"
"0x98086eae8b603ea911e5e1f237bc7635","Клеенки"
"0x98086eae8b603ea911e5e1f23db96b76","Клейма"
"0x98086eae8b603ea911e5e1f23db96bbb","Клинкерные ступени"
"0x98086eae8b603ea911e5e1f243bb23b7","Кобальт"
"0x98086eae8b603ea911e5e1f243bb23ff","Ковши"
"0x98086eae8b603ea911e5e1f24fc0f57e","Колодец"
"0x98086eae8b603ea911e5e1f24fc0f5b5","Кольца"
"0x98086eae8b603ea911e5e1f24fc0f5e4","Коммерческая почта"
"0x9942e61f13ed5cb911e5d162a68b79f4","Электронные компоненты"
"0xb0973a998b4fe4534b77cd7fa50b425a","Эл. компоненты"
"0x98086eae8b603ea911e5e1f261b3137c","Компрессор"
"0x98086eae8b603ea911e5e1f261b313a8","Компьютер"
"0xba6fc7eb1c8272a94c888ac050bb16d8","Конструтор"
"0xa4a4cc7fa125f4fd40b2b89d7ed07a23","Котлы"
"0x98086eae8b603ea911e5e1f27fb48890","Кофе"
"0x98086eae8b603ea911e5e1f27fb488a2","Кофеварки"
"0x854d52b2b7909fad46117b81792fdf36","Кофейный стол"
"0x82bcc1cdff9104c64122291a136d4181","Кофемашина оборудование"
"0x851c6eae8b603ea911e637e93402690a","Краны сифонные"
"0x851c6eae8b603ea911e641ad604d51fc","Краны чугунные"
"0x8baec137b714f88a4eab95a87ceb252a","Краны раздаточные"
"0xa1e5564335c205d24de043cc82745849","Краны с электроприводом"
"0xab51a3b061a347e84d88c6c0b12be103","Краны"
"0xac536eae8b603ea911e69519d4a89b78","Краны промышленные"
"0xbfcaad5766424ecd4eb5b4ede1e6bc97","Краны оборудование"
"0x98086eae8b603ea911e5e1f285b17e51","Крем"
"0xb5526cae8b60617d11e5d3ccf3dbe789","Крупа"
"0x98086eae8b603ea911e5e1f2fd9f84b7","Оборудование кухонное"
"0x98086eae8b603ea911e5e1f2fd9f84b8","Оборудование лазерное"
"0x9942e61f13ed5cb911e5ec14e92553d2","Лазерный станок"
"0x98086eae8b603ea911e5e1f291b02c0c","Лак"
"0x98086eae8b603ea911e5e1f297af828d","Лампа"
"0xa1b480ac5289901346fbdabe5c908fb6","Лебёдка электрическая "
"0x9431d7dd9ae35c014488d7a15433619a","Лебёдки ручные"
"0x98086eae8b603ea911e5e1f31b9c36ff","Оцинкованный лист"
"0xb26e6cae8b60617d11e5fa4518d8006b","Люк"
"0x98086eae8b603ea911e5d48263120b28","Мангал"
"0xb5526cae8b60617d11e5ec25e4117014","Маршрутизатор"
"0x98086eae8b603ea911e5e1f2a3a4ab46","Масла технические"
"0x98086eae8b603ea911e5e1f2a9a8c4c9","Материал тканевый"
"0xab766cae8b60617d11e68494a1677988","Машина стиральная"
"0x9a46aee9e98f530b4b39242c0c96d526","Садовые машины"
"0xbabde61f13ed5cb911e5f5b75309ef9e","Швейные машины"
"0x98086eae8b603ea911e5e1f2c1a8814b","Металлическая оснастка"
"0xaaf16eae8b603ea911e65492dce4cb23","Трубы металлические"
"0x8bd75ec6c1c5661741800e24da62f76e","Нагреватель металлический"
"0xb5526cae8b60617d11e5d3b4d7d7274a","Шкаф металлический"
"0x98086eae8b603ea911e5d3b5df8e85c3","Металлоизделие"
"0xb26e6cae8b60617d11e5f0f4f92c8e34","Мониторы"
"0x98086eae8b603ea911e5e1f261b313ab","Моноблок"
"0x9942e61f13ed5cb911e5d0cca5e51872","Моторы"
"0x98086eae8b603ea911e5e1f2e5a6ec46","Мужская одежда"
"0xbabde41f13ed5cba11e63e031018a9a3","Навесное оборудование "
"0xa14f6cae8b603ead11e680987d282fce","Нагреватели пальчиковые"
"0xb26e6cae8b60617d11e61915957fbc94","Нагреватели пленочные"
"0xbbe58ecb0dc5a1ff469f263688d9ce62","Нагреватели электрические"
"0x98086eae8b603ea911e5e1f3a59429ac","Стоматологические насадки"
"0xab347b85c54c5008471fff3120ac1088","Ноутбук"
"0x800973f8e2040eac4a48a88bd601743d","Оборудование связи"
"0x96f4c3d5c55b3b1d4d0b64c283d87a16","Учебное оборудование"
"0x98086eae8b603ea911e5d17248f819e0","Садовое оборудование"
"0x98086eae8b603ea911e5e1f2fd9f84be","Оборудование отопительное"
"0x98086eae8b603ea911e5e1f2fd9f84c1","Оборудование печатное"
"0x98086eae8b603ea911e5e1f2fd9f84c3","Оборудование пищевое"
"0x98086eae8b603ea911e5e1f2fd9f84db","Оборудование серверное"
"0x98086eae8b603ea911e5e1f2fd9f84dd","Оборудование сигнализации"
