"shop name";"shop url";"shop currency id"
RGK;http://www.rgk-tools.com/;RUR
"category id";"category name"
68;true;N-24;"Оптический нивелир RGK N-24";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-n-24;21250;http://www.rgk-tools.com:443/upload/resize_cache/iblock/e3f/800_800_10a63ae948ffbc02f935044e0ae189980/e3fc044b35a58fc37c22e282e249b37e.jpg;"СКО на 1 км двойного хода - 2 мм; Увеличение - 24 крат; Рабочий диапазон компенсатора - ±15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0,2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Защита от внешних факторов - IPX6; Тип компенсатора - Маятниковый с магнитным демпфером; Рабочая температура - -40°C...+50°C; Температура хранения - -40°C...+50°C; Масса - 1,7 кг; Гарантия - 25 лет; ";"&amp;lt;p&amp;gt;Надёжный и практичный, профессиональный оптический нивелир RGK N-24 отлично  подходит для решения большинства измерительных задач при проектировании,  строительстве и землеустройстве. Прибор  отличается качеством исполнения, неприхотлив в эксплуатации и устойчив к  вредным факторам, что особенно важно при проведении работ в поле и на стройке.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Средняя квадратическая ошибка  нивелира составляет 2,0 мм на километр двойного хода.  Точность прибора увеличивается благодаря  встроенному маятниковому компенсатору с системой магнитного демпфирования. Компенсатор  автоматически устраняет ошибку измерения до 15’ при разгоризонтировки.  Магнитный демпфер не только обеспечивает надёжность всей системы в целом, но и  устраняет ошибку при вибрации: нивелир RGK N-24 позволяет  получить достоверные результаты при работе вблизи строительной техники и другими  источниками вибрации.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Качественная оптика прибора  обеспечивает прямое изображение с 24-х кратным увеличением. Минимальное  расстояние визирования составляет 20 см, что позволяет эффективно работать с RGK N-24 на  небольших дистанциях. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Корпус прибора выполнен из  качественных материалов и полностью соответствует классу защиты IPX6,  предохраняя оптику нивелира от негативного воздействия строительной пыли и  влажности. Нивелир RGK N-24 прослужит долго даже в самых суровых условиях эксплуатации. Корпус нивелира  окрашен в ярко-оранжевый цвет, что помогает предотвратить случайное повреждение  прибора в условиях плохой видимости. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Для закрепления на штативе в  конструкции RGK N-24 предусмотрен стандартный разъём 5/8''. Нивелир весит  всего 1,7 кг, так что его перемещение по строительной площадке не вызовет  никаких затруднений. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: оптический нивелир RGK N-24, нитяной отвес, юстировочный набор, руководство по эксплуатации, транспортировочный кейс.&amp;lt;/p&amp;gt;
";http://www.rgk-tools.com:443/upload/iblock/e38/e389224211f897e734ce8c6e762ff5ec.pdf;http://www.rgk-tools.com:443/upload/iblock/cb4/cb41d9f872ece4ce3845847dfbedbb7b.png;3
69;true;N-32;"Оптический нивелир RGK N-32";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-n-32;22500;http://www.rgk-tools.com:443/upload/resize_cache/iblock/333/800_800_11ab6de44512aa66224f303d5999edca2/3333e412951d3a733ad46a21e6e3dc11.jpg;"СКО на 1 км двойного хода - 1 мм; Увеличение - 32 крат; Рабочий диапазон компенсатора - 15 '; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0,2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Защита от внешних факторов - IPX6; Тип компенсатора - Маятниковый с магнитным демпфером; Рабочая температура - -40°C...+50°C; Температура хранения - -40°C...+50°C; Масса - 1,7 кг; Гарантия - 25 лет; ";"&amp;lt;p&amp;gt;Профессиональный  оптический нивелир RGK N-32 обеспечивает высокую точность: средняя квадратическая ошибка на километр двойного хода составляет всего 1  мм, что позволяет отнести N-32 к классу точных нивелиров. Оптика прибора обеспечивает чёткое прямое  изображение с 32-кратным увеличением с  комфортом для оператора. Благодаря своим характеристикам, прибор универсален и  может эффективно использоваться при проектировании, строительстве зданий и  прокладке дорог, а надёжный корпус нивелира защитит его от попадания пыли,  влаги и случайных ударов.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Точность  измерения RGK N-32 дополнительно повышается за счёт встроенного  маятникового компенсатора с магнитным демпфером, автоматически устраняющим  отклонение до 15’ от горизонтали. Система позволяет полностью избежать ошибки  измерения даже при сильной вибрации от работающей строительной техники или  вблизи автомобильных дорог. Магнитный демпфер устойчив при транспортировке и  абсолютно надёжен в работе. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Минимальное  фокусное расстояние нивелира составляет 30 см, что позволяет эффективно  использовать RGK N-32 для измерений в зданиях, шахтах, коридорах и  тоннелях.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Корпус  нивелира выполнен из качественного металла, оптика и подвижные элементы – из  прочных материалов, обеспечивающих долгий срок службы нивелира даже в  неблагоприятных условиях строительной площадки. Уровень защиты RGK N-32  соответствует классу IPX6 – корпус надёжно защищает прибор от влаги и пыли. Яркая  оранжевая окраска предотвращает случайное повреждение прибора в условиях  недостаточной видимости. Нивелир снабжён стандартным 5/8'' разъёмом  для крепления на штатив. Благодаря весу всего в 1,8 кг, перемещение оптического  нивелира RGK N-32  между точками  измерения не вызовет никаких трудностей. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: Оптический нивелир RGK N-32, крышка на обьектив, отвес, виниловый чехол, юстировочные инструменты-комплект, инструкция, футляр для переноски.&amp;lt;/p&amp;gt;";http://www.rgk-tools.com:443/upload/iblock/cbc/cbc2a0720da1171bb419a207585b64cc.pdf;http://www.rgk-tools.com:443/upload/iblock/45a/45a31082783845c3d9edb6f71ae4738f.png;3
70;true;C-20;"Оптический нивелир RGK C-20";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-c-20;14350;http://www.rgk-tools.com:443/upload/resize_cache/iblock/7b5/800_800_1e33c0327ae1d439f1f49b2f759af8799/7b5d879a089177fb739beb2dde2954fe.jpg;"СКО на 1 км двойного хода - 2 мм; Увеличение - 20 крат; Рабочий диапазон компенсатора - 15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0.2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Пылевлагозащита - IPХ6; Рабочая температура - -20 … +50 °С; Температура хранения - -40 … +50 °С; Масса - 1,7 кг; Гарантия - 2 года; ";"&amp;lt;p&amp;gt;Мобильность и надёжность в любых  условиях – главные достоинства, отличающие оптический  нивелир RGK C-20. Лёгкий и компактный прибор оснащён качественной точной  оптикой: средняя квадратическая ошибка на километр двойного хода составляет 2  мм на километр двойного хода. Такой точности хватает для решения большинства  задач в гражданском строительстве, геодезии и инженерных изысканиях.  &amp;lt;/p&amp;gt;
  &amp;lt;p&amp;gt;Оптика RGK C-20 обеспечивает прямое изображение  с 20-кратным увеличением при минимальном фокусном расстоянии 20 см. Воздушный  компенсатор, которым оснащён нивелир, значительно упрощает горизонтировку  прибора, экономя время и повышая точность измерения. &amp;lt;/p&amp;gt;
  &amp;lt;p&amp;gt;Несмотря на небольшой вес, корпус  RGK C-20 полностью  соответствует стандарту защиты IPХ6  и надёжно защищает оптику прибора от влаги, пыли и случайного повреждения при  транспортировке или падении. Все детали прибора выполнены из качественных  материалов, обеспечивая большой срок службы нивелира и неизменно высокое качество  измерений. Если вам нужен лёгкий, неприхотливый к условиям эксплуатации и  доступный прибор, обратите внимание на RGK C-20.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: оптический нивелир RGK C-20, нитяной отвес, юстировочный набор, руководство по эксплуатации, транспортировочный кейс.&amp;lt;/P&amp;gt;
";http://www.rgk-tools.com:443/upload/iblock/a68/a685d7d9cf846fbabd14131acda27290.pdf;http://www.rgk-tools.com:443/upload/iblock/2da/2da26055945206e56708d04cccd51698.jpg;3
71;true;C-24;"Оптический нивелир RGK C-24";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-c-24;15600;http://www.rgk-tools.com:443/upload/resize_cache/iblock/bc7/800_800_1ebf223f8c653fc4daac92ce73132f7bc/bc7e550ae42173390d22e020224efc07.jpg;"СКО на 1 км двойного хода - 2 мм; Увеличение - 24 крат; Рабочий диапазон компенсатора - 15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0.2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Пылевлагозащита - IPХ6; Рабочая температура - -20 … +50 °С; Температура хранения - -40 … +50 °С; Масса - 1,7 кг; Гарантия - 3 года; ";"&amp;lt;p&amp;gt;Оптический нивелир RGK C-24 – это лёгкий, надёжный и достаточно точный измерительный  прибор, основное назначение которого – проведение угловых измерений на  строительной площадке, полевых исследований и других работ в неблагоприятных  условиях. Благодаря небольшому весу и габаритам нивелир легко можно без проблем  перемещать, а влаго- и пылезащитный корпус, полностью соответствующий стандарту  защиты IPХ6, надёжно защищает прибор от вредных внешних факторов.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Качественная оптика прибора  обеспечивает прямое изображение с 24-кратным увеличением, что гарантирует  комфорт оператора и минимизирует ошибку измерения. Средняя  квадратическая ошибка RGK C-24 составляет  2 мм  на километр двойного хода – такой точности достаточно для эффективного решения  большинства измерительных задач. Встроенный компенсатор маятниковый с магнитным демпфером устраняет  ошибку при горизонтировке прибора. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Оптический нивелир RGK C-24 – надёжный и неприхотливый прибор: нивелир одинаково  эффективно функционирует как при -20°C, так и при 50°C.  Корпус, оптика и поворотные винты прибора выполнены из качественных материалов  и прослужат долго.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: оптический нивелир RGK C-24, нитяной отвес, юстировочный набор, руководство по эксплуатации, транспортировочный кейс.&amp;lt;/p&amp;gt;";http://www.rgk-tools.com:443/upload/iblock/c97/c974ad3653b690ab6746cf713765fab6.pdf;http://www.rgk-tools.com:443/upload/iblock/961/9615801c21a7e7aeb93833d5bc7cbf63.jpg;3
72;true;C-32;"Оптический нивелир RGK C-32";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-c-32;17500;http://www.rgk-tools.com:443/upload/resize_cache/iblock/154/800_800_14f8068a58cd5c2887a90711eed9ad06d/154dcd1c67486d5c4161d65a10a89bdd.jpg;"СКО на 1 км двойного хода - 1.5 мм; Увеличение - 32 крат; Рабочий диапазон компенсатора - 15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0.2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Пылевлагозащита - IPХ6; Рабочая температура - -20 … +50 °С; Температура хранения - -40 … +50 °С; Масса - 1,7 кг; Гарантия - 5 лет; ";"&amp;lt;p&amp;gt;Удобный, точный, надёжный и  неприхотливый, оптический нивелир RGK C-32 отлично  подходит для решения измерительных задач в неблагоприятных полевых условиях или  на строительной площадке.  Отличительной  особенностью нивелира является встроенный компенсатор с системой магнитного  демпфирования. Компенсатор не только значительно облегчает горизонтировку  прибора, но и эффективно устраняет ошибку измерения даже при сильной вибрации,  ветре и деформации грунта, позволяя работать рядом со строительной техникой,  автомобильной дорогой или на большой высоте.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Качественная оптика прибора обеспечивает  прямое изображение с 32-кратным увеличением, что гарантирует комфорт оператора  и минимизирует ошибку при регистрации измеренных значений. Оптический нивелир RGK C-32 обладает повышенной точностью: средняя квадратическая  ошибка составляет 1,5 мм на километр двойного хода. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Оптический нивелир RGK C-32 – идеальный прибор для геодезических исследований.  Небольшой вес и удобная ручка позволяют легко перемещать прибор между точками  измерения, а прочный корпус, выполненный из качественного металла, соответствует  стандарту защиты IPХ6 и надёжно защищает оптику нивелира от пыли и  влаги. Яркая оранжевая окраска прибора  предотвращает случайное повреждение нивелира в сумерках. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: оптический нивелир RGK C-32, нитяной отвес, юстировочный набор, руководство по эксплуатации, транспортировочный кейс.";http://www.rgk-tools.com:443/upload/iblock/3c4/3c4238b5baf4029cf06820980b972fa3.pdf;http://www.rgk-tools.com:443/upload/iblock/5ed/5ed5f700d6aba45f1c1336bda6b2983e.jpg;3
170;true;C-28;"Оптический нивелир RGK C-28";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-c-28;16250;http://www.rgk-tools.com:443/upload/resize_cache/iblock/e6c/800_800_19ab3f0bbc7abd59bbb81bf52c0aa98bb/e6c80c9fbea3c255fa43368336dcc572.jpg;"СКО на 1 км двойного хода - 2 мм; Увеличение - 28 крат; Рабочий диапазон компенсатора - 15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0.2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Пылевлагозащита - IPХ6; Рабочая температура - -20 … +50 °С; Температура хранения - -40 … +50 °С; Масса - 1,7 кг; Гарантия - 3 года; ";"&amp;lt;p&amp;gt;
	 C-28 – это лёгкий и надёжный оптический нивелир с 28X увеличением зрительной трубы. Прибор отлично подходит для измерений на больших дистанциях при сохранении высокой точности измерений. Средняя квадратическая ошибка нивелира составляет 2 мм на километр двойного нивелирного хода: такая точность позволяет решать большинство задач по нивелированию в геодезии и строительстве. Минимальное фокусное расстояние 0,2 м даёт возможность проводить измерения в непосредственной близости от объекта, что позволяет использовать нивелир RGK C-28 в помещениях, шахтах и тоннелях. Благодаря качественной оптике, небольшим размерам и весу этот прибор удобен как на строительной площадке, так и в полевых условиях. Отличное качество сборки с использованием качественных материалов гарантирует сохранение настройки точности при перевозке, долгий срок службы и надёжность работы инструмента.
&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;
	 Как и все современные нивелиры, RGK C-28 обеспечивает прямое изображение. Качественная просветлённая оптика с углом поля зрения 1°25' гарантирует удобство измерений. Компенсатор маятниковый с магнитным демпфером выравнивает изображение в пределах 15”, позволяя не тратить время на горизонтирование при установке прибора. Благодаря качественному механизму самовыравнивания нивелир RGK C-28 быстро устраняет отклонение изображения от горизонта при толчках и вибрации. Это особенно полезно при работе на неустойчивых поверхностях, например, в помещении с шатким полом, на строительной площадке рядом с работающей техникой, а также вблизи автомобильных и железных дорог. Корпус прибора выполнен из прочного металла и качественного пластика – он обеспечивает не только влагоустойчивость, но и невосприимчивость к условиям пониженных температур: рабочий диапазон прибора RGK C-28 лежит в пределах -20 - +50°C, так что этот нивелир эффективен в любое время года.
&amp;lt;/p&amp;gt;";http://www.rgk-tools.com:443/upload/iblock/6b1/6b16cc32619c21b35db6b6d07a3e9e2b.pdf;http://www.rgk-tools.com:443/upload/iblock/5fa/5fa8a0805f7df9b40836497b71f1d305.jpg;3
253;true;N-38;"Оптический нивелир RGK N-38";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-n-38;45000;http://www.rgk-tools.com:443/upload/resize_cache/iblock/aba/800_800_12840201814e5a6b913f54f3dd72d18b5/aba3b379be4c0ad06dc20ec7d19afe71.jpg;"СКО на 1 км двойного хода - 0,7 мм; Увеличение - 38 крат; Рабочий диапазон компенсатора - 15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0,3 м; Коэффициент нитяного дальномера - 1:100; Защита от внешних факторов - IPX6; Тип компенсатора - Маятниковый с магнитным демпфером; Масса - 2,0 кг; Гарантия - 25 лет; ";"&amp;lt;p&amp;gt;
	 RGK N-38 – это профессиональный оптический нивелир, обладающий самой совершенной оптикой среди приборов серии N. Средняя квадратическая ошибка на километр двойного хода составляет всего 0,7 мм – этой точности будет достаточно для проведения работ, требующих повышенной точности, включая нивелирование III и IV класса, маркшейдерские, строительные и многие другие задачи. Оптическая система RGK N-38 обеспечивает прямое изображение с увеличением в 38 раз, а минимальное фокусное расстояние составляет 30 см. Таким образом, прибор подходит для работы на любых объектах – от строительных площадок до тоннелей и шахт, как на больших, так и на малых дистанциях.
&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;
	 Высокая точность оптики нивелира усилена использованием компенсатора с магнитным демпфером. Система компенсации устраняет отклонение по горизонтали в пределах 15’ с точностью 0,2’, благодаря чему RGK N-38 обеспечивает стабильное изображение в зрительной трубе, а измерения сохраняют точность даже в сложных условиях работы. Для первоначальной установки нивелира в горизонтальное положение используются плавные наводящие винты, а контроль горизонта производится с помощью встроенного пузырькового уровня прибора.
&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;
	 Оптический нивелир RGK N-38 максимально подготовлен к работе на стройке, вблизи автомобильных дорог и других площадках со сложными условиями. Корпус прибора изготовлен из качественного металлического сплава и имеет степень защиты оболочки IPX6. Это означает, что нивелир полностью защищён от воздействия влаги и выдерживает кратковременное затопление. Поворотные винты прибора выполнены из специального пластика. Все узлы устройства износоустойчивы и невосприимчивы к неблагоприятным условиям среды. Оптика прибора рассчитана на долгий срок службы при активной эксплуатации и обеспечивает высокий уровень комфорта наблюдения даже при низких температурах и высокой влажности. Благодаря небольшому весу и стандартной резьбе RGK N-38 подходит для использования с любыми нивелирными штативами RGK.
&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;
	 Стандартная комплектация: оптический нивелир RGK N-38, нитяной отвес, юстировочный набор (шестигранный ключ, шпилька), транспортный кейс.
&amp;lt;/p&amp;gt;";http://www.rgk-tools.com:443/upload/iblock/22d/22db992a8e3923b99548fe764694641b.pdf;http://www.rgk-tools.com:443/upload/iblock/8c9/8c9e30184152a2116cd1a1182be0a75e.png;3
1048;true;"N-32 с поверкой";"Оптический нивелир RGK N-32 с поверкой";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-n-32-s-poverkoy;23750;http://www.rgk-tools.com:443/upload/resize_cache/iblock/673/800_800_1cc0b01d2244dbba84d7e5652dd633115/673874effb78d639bcb8411b37fc42c9.jpg;"СКО на 1 км двойного хода - 1 мм; Увеличение - 32 крат; Рабочий диапазон компенсатора - 15 '; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0,2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Защита от внешних факторов - IPX6; Тип компенсатора - Маятниковый с магнитным демпфером; Рабочая температура - -40°C...+50°C; Температура хранения - -40°C...+50°C; Масса - 1,7 кг; Гарантия - 25 лет; ";"&amp;lt;p&amp;gt;Профессиональный  оптический нивелир RGK N-32 обеспечивает высокую точность: средняя квадратическая ошибка на километр двойного хода составляет всего 1  мм, что позволяет отнести N-32 к классу точных нивелиров. Оптика прибора обеспечивает чёткое прямое  изображение с 32-кратным увеличением с  комфортом для оператора. Благодаря своим характеристикам, прибор универсален и  может эффективно использоваться при проектировании, строительстве зданий и  прокладке дорог, а надёжный корпус нивелира защитит его от попадания пыли,  влаги и случайных ударов.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Точность  измерения RGK N-32 дополнительно повышается за счёт встроенного  маятникового компенсатора с магнитным демпфером, автоматически устраняющим  отклонение до 15’ от горизонтали. Система позволяет полностью избежать ошибки  измерения даже при сильной вибрации от работающей строительной техники или  вблизи автомобильных дорог. Магнитный демпфер устойчив при транспортировке и  абсолютно надёжен в работе. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Минимальное  фокусное расстояние нивелира составляет 30 см, что позволяет эффективно  использовать RGK N-32 для измерений в зданиях, шахтах, коридорах и  тоннелях.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Корпус  нивелира выполнен из качественного металла, оптика и подвижные элементы – из  прочных материалов, обеспечивающих долгий срок службы нивелира даже в  неблагоприятных условиях строительной площадки. Уровень защиты RGK N-32  соответствует классу IPX6 – корпус надёжно защищает прибор от влаги и пыли. Яркая  оранжевая окраска предотвращает случайное повреждение прибора в условиях  недостаточной видимости. Нивелир снабжён стандартным 5/8'' разъёмом  для крепления на штатив. Благодаря весу всего в 1,8 кг, перемещение оптического  нивелира RGK N-32  между точками  измерения не вызовет никаких трудностей. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: Оптический нивелир RGK N-32, крышка на обьектив, отвес, виниловый чехол, юстировочные инструменты-комплект, инструкция, футляр для переноски.&amp;lt;/p&amp;gt;";http://www.rgk-tools.com:443/upload/iblock/25c/25c93cedc5980b70db02d2de7e239c97.pdf;;3
1050;true;"N-24 с поверкой";"Оптический нивелир RGK N-24 с поверкой";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-n-24-s-poverkoy;22500;http://www.rgk-tools.com:443/upload/resize_cache/iblock/30e/800_800_1b724db2e913c9908f7d17f97f43f5980/30ed6dcc76b765916ae05ff3eb8f6523.jpg;"СКО на 1 км двойного хода - 2 мм; Увеличение - 24 крат; Рабочий диапазон компенсатора - ±15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0,2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Защита от внешних факторов - IPX6; Тип компенсатора - Маятниковый с магнитным демпфером; Рабочая температура - -40°C...+50°C; Температура хранения - -40°C...+50°C; Масса - 1,7 кг; Гарантия - 25 лет; ";"&amp;lt;p&amp;gt;Надёжный и практичный, профессиональный оптический нивелир RGK N-24 отлично  подходит для решения большинства измерительных задач при проектировании,  строительстве и землеустройстве. Прибор  отличается качеством исполнения, неприхотлив в эксплуатации и устойчив к  вредным факторам, что особенно важно при проведении работ в поле и на стройке.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Средняя квадратическая ошибка  нивелира составляет 2,0 мм на километр двойного хода.  Точность прибора увеличивается благодаря  встроенному маятниковому компенсатору с системой магнитного демпфирования. Компенсатор  автоматически устраняет ошибку измерения до 15’ при разгоризонтировки.  Магнитный демпфер не только обеспечивает надёжность всей системы в целом, но и  устраняет ошибку при вибрации: нивелир RGK N-24 позволяет  получить достоверные результаты при работе вблизи строительной техники и другими  источниками вибрации.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Качественная оптика прибора  обеспечивает прямое изображение с 24-х кратным увеличением. Минимальное  расстояние визирования составляет 20 см, что позволяет эффективно работать с RGK N-24 на  небольших дистанциях. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Корпус прибора выполнен из  качественных материалов и полностью соответствует классу защиты IPX6,  предохраняя оптику нивелира от негативного воздействия строительной пыли и  влажности. Нивелир RGK N-24 прослужит долго даже в самых суровых условиях эксплуатации. Корпус нивелира  окрашен в ярко-оранжевый цвет, что помогает предотвратить случайное повреждение  прибора в условиях плохой видимости. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;  Для закрепления на штативе в  конструкции RGK N-24 предусмотрен стандартный разъём 5/8''. Нивелир весит  всего 1,7 кг, так что его перемещение по строительной площадке не вызовет  никаких затруднений. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: оптический нивелир RGK N-24, нитяной отвес, юстировочный набор, руководство по эксплуатации, транспортировочный кейс.&amp;lt;/p&amp;gt;
";http://www.rgk-tools.com:443/upload/iblock/700/7004b78424725332928ffcb68077f8a6.pdf;;3
1052;true;"C-32 с поверкой";"Оптический нивелир RGK C-32 с поверкой";"Оптический нивелир";RGK;http://www.rgk-tools.com:443/ru/catalog/opticheskie-niveliry/opticheskiy-nivelir-rgk-c-32-s-poverkoy;18750;http://www.rgk-tools.com:443/upload/resize_cache/iblock/8d3/800_800_13dfe40835a39bddc86bfba25da7de12a/8d393fe23579ba6c82814b781d02b212.jpg;"СКО на 1 км двойного хода - 1.5 мм; Увеличение - 32 крат; Рабочий диапазон компенсатора - 15'; Изображение - Прямое; Угол поля зрения - 1°25'; Минимальное фокусное расстояние - 0.2 м; Коэффициент нитяного дальномера - 1:100; Диаметр горизонтального круга - 103 мм; Пылевлагозащита - IPХ6; Рабочая температура - -20 … +50 °С; Температура хранения - -40 … +50 °С; Масса - 1,7 кг; Гарантия - 5 лет; ";"&amp;lt;p&amp;gt;Удобный, точный, надёжный и  неприхотливый, оптический нивелир RGK C-32 отлично  подходит для решения измерительных задач в неблагоприятных полевых условиях или  на строительной площадке.  Отличительной  особенностью нивелира является встроенный компенсатор с системой магнитного  демпфирования. Компенсатор не только значительно облегчает горизонтировку  прибора, но и эффективно устраняет ошибку измерения даже при сильной вибрации,  ветре и деформации грунта, позволяя работать рядом со строительной техникой,  автомобильной дорогой или на большой высоте.&amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Качественная оптика прибора обеспечивает  прямое изображение с 32-кратным увеличением, что гарантирует комфорт оператора  и минимизирует ошибку при регистрации измеренных значений. Оптический нивелир RGK C-32 обладает повышенной точностью: средняя квадратическая  ошибка составляет 1,5 мм на километр двойного хода. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Оптический нивелир RGK C-32 – идеальный прибор для геодезических исследований.  Небольшой вес и удобная ручка позволяют легко перемещать прибор между точками  измерения, а прочный корпус, выполненный из качественного металла, соответствует  стандарту защиты IPХ6 и надёжно защищает оптику нивелира от пыли и  влаги. Яркая оранжевая окраска прибора  предотвращает случайное повреждение нивелира в сумерках. &amp;lt;/p&amp;gt;
&amp;lt;p&amp;gt;Стандартная комплектация: оптический нивелир RGK C-32, нитяной отвес, юстировочный набор, руководство по эксплуатации, транспортировочный кейс.";http://www.rgk-tools.com:443/upload/iblock/3e0/3e0fcbcc214ab9bd8d330fa6e14efb79.pdf;;3
